Frame,Sub Frame,Fx,Fy,Fz,Cx,Cy
1,0,-1.51686,3.79894,584.627,0.8316372129500698,0.38049240343765994
1,1,-1.89842,3.97028,586.04,0.8310519573132555,0.38043869813832043
1,2,-2.44464,3.78182,585.768,0.8313820966196569,0.3800346981853887
1,3,-2.20321,3.79892,584.781,0.8315876374268037,0.37960317326954096
1,4,-1.90299,4.12194,585.125,0.8309917338288298,0.37945986693324796
1,5,-1.70885,3.82111,584.989,0.8309023922620713,0.38001150051711424
1,6,-2.16227,4.1781,584.917,0.830678846286049,0.37997975065877954
1,7,-1.86932,4.675,584.917,0.8310861964403592,0.37976100795905327
1,8,-1.34115,4.69731,584.917,0.8308541984367536,0.38009018161523345
1,9,-1.93169,5.58749,582.953,0.8307727742773259,0.380183862543183
2,0,-2.11285,5.14094,584.969,0.831152948294439,0.37938067273852155
2,1,-1.90314,4.13024,584.221,0.8313425199301334,0.37994015967182754
2,2,-2.19823,3.45921,585.82,0.8312525453298188,0.38013643316315593
2,3,-2.07926,2.73491,584.086,0.8320328664723806,0.3798562164695578
2,4,-1.53564,2.65327,584.064,0.8314962749732742,0.38002375138378974
2,5,-2.31694,3.50643,584.21,0.8314520496106785,0.3803031853155219
2,6,-2.69276,4.78364,585.892,0.8304094432067305,0.38000440464940277
2,7,-2.10042,6.19573,585.489,0.8304833480432887,0.37981262896785456
2,8,-1.86694,6.03704,585.83,0.8301514616085106,0.38000123796660656
2,9,-1.70907,5.46431,584.295,0.8314408776897882,0.37971857990579355
3,0,-2.02183,4.2858,583.297,0.8316201406112649,0.3803646410200727
3,1,-2.11285,3.02515,584.551,0.8314612844337695,0.38022149547256406
3,2,-2.39212,2.76842,583.796,0.8316370218939796,0.38017399423490733
3,3,-1.90652,3.07122,585.184,0.8312221280694717,0.3800976193412239
3,4,-1.83051,3.37734,583.663,0.8306596058698247,0.38045900473177585
3,5,-2.4769,4.19349,583.991,0.8305538236328738,0.3802451527005822
3,6,-1.59426,4.99669,583.93,0.8304962118114371,0.37995416939447896
3,7,-1.32053,5.60899,583.297,0.8306232358075958,0.37975490512271937
3,8,-2.1578,5.50079,584.27,0.8311031788862743,0.3800271448017315
3,9,-2.58626,4.83617,584.563,0.8312654023291354,0.3798149406748011
4,0,-2.01325,3.99689,583.724,0.8321012968316426,0.3806227774126871
4,1,-1.70925,3.21343,583.224,0.8322059998894941,0.38051080598206055
4,2,-1.5332,3.20606,583.151,0.8317454252737564,0.3802143160609196
4,3,-2.19393,3.01889,583.99,0.8310018470832725,0.38018077189992844
4,4,-2.37696,3.4886,585.329,0.8300263306680039,0.38060486695052625
4,5,-1.88894,4.38358,585.063,0.8301453347049015,0.38053928680031235
4,6,-1.34245,4.88458,584.078,0.8303659326738089,0.3802365139795144
4,7,-1.58101,4.73732,583.018,0.8312085583216875,0.3799366060310751
