Frame,SubFrame,LASI_X,LASI_Y,LASI_Z,RASI_X,RASI_Y,RASI_Z,LPSI_X,LPSI_Y,LPSI_Z,RPSI_X,RPSI_Y,RPSI_Z,LTHI_X,LTHI_Y,LTHI_Z,LKNE_X,LKNE_Y,LKNE_Z,LANK_X,LANK_Y,LANK_Z,LHEE_X,LHEE_Y,LHEE_Z,LP1M_X,LP1M_Y,LP1M_Z,LTOE_X,LTOE_Y,LTOE_Z,LD5M_X,LD5M_Y,LD5M_Z,LLCA_X,LLCA_Y,LLCA_Z,RTHI_X,RTHI_Y,RTHI_Z,RKNE_X,RKNE_Y,RKNE_Z,RANK_X,RANK_Y,RANK_Z,RHEE_X,RHEE_Y,RHEE_Z,RP1M_X,RP1M_Y,RP1M_Z,RTOE_X,RTOE_Y,RTOE_Z,RD5M_X,RD5M_Y,RD5M_Z,RLCA_X,RLCA_Y,RLCA_Z
2,0.0,752.960266,221.192215,912.130066,731.184509,511.786285,902.397949,972.871826,378.055359,834.942505,870.646667,366.257233,1453.535889,860.79541,190.912949,835.062805,765.622009,295.435699,469.529541,891.638,256.241119,71.462288,914.671448,272.296082,24.099136,741.194763,288.347046,24.881414,693.313293,243.194809,18.926882,778.313416,202.401581,16.243048,893.481812,337.245514,17.840374,877.06543,543.147705,823.396606,773.014282,448.790741,465.554108,897.800598,481.44101,72.346901,914.385925,469.479065,19.889627,745.29541,435.367767,25.043177,694.890808,478.001923,19.024117,781.804077,523.139893,18.30555,895.927795,402.05896,20.642075
3,0.0,752.937134,221.213776,912.146545,731.184631,511.792725,902.392151,972.925476,378.091553,834.936401,870.526917,366.805603,1454.097778,860.805847,190.930756,835.065369,765.588928,295.404572,469.535187,891.593079,256.241821,71.398537,914.655334,272.276917,24.091627,741.177734,288.339417,24.941845,693.318359,243.183762,18.92728,778.32782,202.378677,16.236208,893.490417,337.18045,17.848766,877.035339,543.171631,823.375122,772.987244,448.78064,465.555817,897.76825,481.360046,72.255486,914.363953,469.49707,19.872126,745.263,435.354706,24.996552,694.912231,478.008728,19.041088,781.830627,523.128296,18.290823,896.008728,402.050507,20.65498
4,0.0,752.951965,221.18219,912.165283,731.175049,511.799927,902.398193,972.915527,378.095428,834.934082,870.718933,366.586517,1454.047974,860.795044,190.964447,835.068542,765.628235,295.44754,469.545135,891.600159,256.240265,71.425316,914.647217,272.272003,24.071604,741.201843,288.369598,24.912069,693.30835,243.158478,18.910925,778.317932,202.414047,16.255299,893.503723,337.182007,17.873857,877.037964,543.176025,823.369507,772.983582,448.789764,465.572449,897.770203,481.345428,72.294212,914.330322,469.460052,19.85253,745.258606,435.38205,25.00893,694.892395,477.98468,18.994322,781.809265,523.123596,18.260046,895.894104,402.048615,20.703695
5,0.0,752.932678,221.164063,912.16272,731.163696,511.807495,902.41095,972.906555,378.13147,834.958679,870.407227,366.894745,1454.033569,860.831604,190.984344,835.104187,765.638733,295.473267,469.535583,891.598572,256.252289,71.420296,914.655396,272.264893,24.047461,741.187744,288.316467,24.944973,693.293335,243.17453,18.929363,778.328918,202.409988,16.285778,893.458313,337.302582,17.715012,877.036194,543.204163,823.401062,773.010376,448.80307,465.563812,897.773193,481.425446,72.30114,914.373718,469.483185,19.90472,745.311096,435.398804,25.040264,694.877197,477.996674,19.033594,781.81897,523.124573,18.276987,895.963013,402.058685,20.687368
6,0.0,752.981323,221.176987,912.185791,731.131836,511.824249,902.397034,972.909668,378.131195,834.976929,870.538452,366.774719,1454.047729,860.860168,191.009094,835.083862,765.641541,295.442688,469.568268,891.606628,256.273376,71.397102,914.665222,272.285156,24.060923,741.209229,288.372559,24.933804,693.293823,243.163681,18.926407,778.330933,202.410477,16.258556,893.47821,337.211731,17.898726,876.986816,543.199951,823.406128,772.985229,448.772705,465.544922,897.748779,481.348785,72.318962,914.32196,469.481964,19.84602,745.28717,435.342255,25.024137,694.909607,478.010193,19.044489,781.771851,523.096497,18.263538,895.924805,402.084015,20.664751
7,0.0,752.949036,221.156967,912.198425,731.120605,511.834076,902.405151,972.857056,378.138,834.918701,870.4646,366.853424,1454.006226,860.873413,191.002533,835.073669,765.659851,295.456848,469.541168,891.641418,256.250183,71.375854,914.690063,272.270416,24.051054,741.199524,288.340759,24.953136,693.312256,243.186462,18.942989,778.348572,202.370987,16.271139,893.495239,337.277954,17.846233,876.934448,543.201721,823.398865,773.034058,448.807037,465.544952,897.762207,481.341461,72.267891,914.352966,469.493286,19.868288,745.302795,435.347107,25.075344,694.905762,478.006104,19.038965,781.813843,523.100952,18.339832,896.002991,402.059967,20.610979
8,0.0,752.960388,221.179703,912.184021,731.087952,511.813232,902.380859,972.857727,378.18042,834.912354,870.667542,366.603973,1453.889648,860.901245,190.994293,835.08252,765.673889,295.454437,469.528534,891.72998,256.239532,71.404633,914.706238,272.305328,24.054453,741.256409,288.320923,24.906752,693.311951,243.184967,18.907751,778.398804,202.373123,16.236683,893.401794,337.07666,17.833755,876.905518,543.217285,823.43103,773.048462,448.800018,465.531586,897.760437,481.326477,72.299889,914.380493,469.511169,19.86923,745.292847,435.388763,25.027489,694.887207,477.99704,19.081123,781.792542,523.103577,18.271412,895.991577,402.068665,20.604494
9,0.0,752.960815,221.185471,912.169678,731.06189,511.812317,902.380493,972.851868,378.192871,834.910522,870.589966,366.722321,1453.935181,860.881836,191.00795,835.049927,765.674622,295.465088,469.532074,891.6828,256.250519,71.379021,914.696899,272.288818,24.014282,741.22522,288.34375,24.917706,693.311829,243.150391,18.921093,778.356995,202.398666,16.273371,893.713013,337.229218,18.308187,876.868408,543.229248,823.387268,773.034424,448.766449,465.545654,897.739014,481.346405,72.283043,914.32959,469.486359,19.861897,745.287476,435.385681,24.999552,694.894043,477.990509,19.060181,781.825623,523.117249,18.276459,896.062561,402.045105,20.576427
10,0.0,752.936829,221.16571,912.164551,731.0495,511.841949,902.366333,972.846008,378.19931,834.958191,870.507263,366.855957,1453.946167,860.872864,191.025146,835.056885,765.656372,295.468628,469.539001,891.672913,256.291687,71.343346,914.699646,272.315735,24.011587,741.195374,288.354126,24.925066,693.336792,243.165649,18.898617,778.399353,202.415024,16.221315,893.625488,337.157684,18.161367,876.861328,543.255798,823.385315,773.009705,448.76236,465.506073,897.740845,481.345367,72.280075,914.35498,469.527008,19.854679,745.258728,435.35495,25.023327,694.866638,478.000519,19.038807,781.790649,523.112305,18.28758,895.999023,402.058563,20.593706
11,0.0,752.933167,221.192566,912.152466,731.044739,511.862762,902.386963,972.821228,378.235779,834.915894,870.487915,366.878998,1453.902588,860.891052,191.054855,835.060791,765.649963,295.493591,469.527466,891.705811,256.24176,71.337166,914.675232,272.292267,23.979725,741.186218,288.381561,24.945045,693.318542,243.189285,18.945957,778.398254,202.405075,16.229048,893.53363,337.043365,18.102741,876.864685,543.29248,823.403992,773.015808,448.772888,465.481323,897.737549,481.35791,72.293869,914.312317,469.496307,19.89279,745.267334,435.364349,24.99831,694.891357,477.97226,19.012526,781.822937,523.105896,18.279793,896.050598,402.053162,20.588112
