Frame,Fx,Fy,Fz,Cx,Cy,LASI_X,LASI_Y,LASI_Z,RASI_X,RASI_Y,RASI_Z,LPSI_X,LPSI_Y,LPSI_Z,RPSI_X,RPSI_Y,RPSI_Z,LTHI_X,LTHI_Y,LTHI_Z,LKNE_X,LKNE_Y,LKNE_Z,LANK_X,LANK_Y,LANK_Z,LHEE_X,LHEE_Y,LHEE_Z,LP1M_X,LP1M_Y,LP1M_Z,LTOE_X,LTOE_Y,LTOE_Z,LD5M_X,LD5M_Y,LD5M_Z,LLCA_X,LLCA_Y,LLCA_Z,RTHI_X,RTHI_Y,RTHI_Z,RKNE_X,RKNE_Y,RKNE_Z,RANK_X,RANK_Y,RANK_Z,RHEE_X,RHEE_Y,RHEE_Z,RP1M_X,RP1M_Y,RP1M_Z,RTOE_X,RTOE_Y,RTOE_Z,RD5M_X,RD5M_Y,RD5M_Z,RLCA_X,RLCA_Y,RLCA_Z,1,5,4,6,2,3
1,-1.89794,4.243091,584.9034,0.831094505,0.380005514,0.752960266,0.221192215,0.912130066,0.731184509,0.511786285,0.902397949,0.972871826,0.378055359,0.834942505,0.870646667,0.366257233,1.453535889,0.86079541,0.190912949,0.835062805,0.765622009,0.295435699,0.469529541,0.891638,0.256241119,0.071462288,0.914671448,0.272296082,0.024099136,0.741194763,0.288347046,0.024881414,0.693313293,0.243194809,0.018926882,0.778313416,0.202401581,0.016243048,0.893481812,0.337245514,0.017840374,0.87706543,0.543147705,0.823396606,0.773014282,0.448790741,0.465554108,0.897800598,0.48144101,0.072346901,0.914385925,0.469479065,0.019889627,0.74529541,0.435367767,0.025043177,0.694890808,0.478001923,0.019024117,0.781804077,0.523139893,0.01830555,0.895927795,0.40205896,0.020642075,2566735,4287208,2664538,4469761,4061708,1868144
2,-2.051525,4.410572,584.8876,0.831121434,0.379917727,0.752937134,0.221213776,0.912146545,0.731184631,0.511792725,0.902392151,0.972925476,0.378091553,0.834936401,0.870526917,0.366805603,1.454097778,0.860805847,0.190930756,0.835065369,0.765588928,0.295404572,0.469535187,0.891593079,0.256241821,0.071398537,0.914655334,0.272276917,0.024091627,0.741177734,0.288339417,0.024941845,0.693318359,0.243183762,0.01892728,0.77832782,0.202378677,0.016236208,0.893490417,0.33718045,0.017848766,0.877035339,0.543171631,0.823375122,0.772987244,0.44878064,0.465555817,0.89776825,0.481360046,0.072255486,0.914363953,0.46949707,0.019872126,0.745263,0.435354706,0.024996552,0.694912231,0.478008728,0.019041088,0.781830627,0.523128296,0.018290823,0.896008728,0.402050507,0.02065498,2566638,4288539,2664464,4470683,4062414,1867996
3,-2.039958,4.166406,584.0542,0.831064203,0.380111307,0.752951965,0.22118219,0.912165283,0.731175049,0.511799927,0.902398193,0.972915527,0.378095428,0.834934082,0.870718933,0.366586517,1.454047974,0.860795044,0.190964447,0.835068542,0.765628235,0.29544754,0.469545135,0.891600159,0.256240265,0.071425316,0.914647217,0.272272003,0.024071604,0.741201843,0.288369598,0.024912069,0.69330835,0.243158478,0.018910925,0.778317932,0.202414047,0.016255299,0.893503723,0.337182007,0.017873857,0.877037964,0.543176025,0.823369507,0.772983582,0.448789764,0.465572449,0.897770203,0.481345428,0.072294212,0.914330322,0.469460052,0.01985253,0.745258606,0.43538205,0.02500893,0.694892395,0.47798468,0.018994322,0.781809265,0.523123596,0.018260046,0.895894104,0.402048615,0.020703695,2567028,4290404,2665179,4470683,4062317,1868071
4,-1.882806,3.973987,584.0204,0.8312258,0.380384235,0.752932678,0.221164063,0.91216272,0.731163696,0.511807495,0.90241095,0.972906555,0.37813147,0.834958679,0.870407227,0.366894745,1.454033569,0.860831604,0.190984344,0.835104187,0.765638733,0.295473267,0.469535583,0.891598572,0.256252289,0.071420296,0.914655396,0.272264893,0.024047461,0.741187744,0.288316467,0.024944973,0.693293335,0.24317453,0.018929363,0.778328918,0.202409988,0.016285778,0.893458313,0.337302582,0.017715012,0.877036194,0.543204163,0.823401062,0.773010376,0.44880307,0.465563812,0.897773193,0.481425446,0.07230114,0.914373718,0.469483185,0.01990472,0.745311096,0.435398804,0.025040264,0.694877197,0.477996674,0.019033594,0.78181897,0.523124573,0.018276987,0.895963013,0.402058685,0.020687368,2567200,4290404,2665080,4470683,4062317,1868366
5,-2.153629,3.931755,584.3146,0.830975484,0.380290661,0.752981323,0.221176987,0.912185791,0.731131836,0.511824249,0.902397034,0.972909668,0.378131195,0.834976929,0.870538452,0.366774719,1.454047729,0.860860168,0.191009094,0.835083862,0.765641541,0.295442688,0.469568268,0.891606628,0.256273376,0.071397102,0.914665222,0.272285156,0.024060923,0.741209229,0.288372559,0.024933804,0.693293823,0.243163681,0.018926407,0.778330933,0.202410477,0.016258556,0.89347821,0.337211731,0.017898726,0.876986816,0.543199951,0.823406128,0.772985229,0.448772705,0.465544922,0.897748779,0.481348785,0.072318962,0.91432196,0.469481964,0.01984602,0.74528717,0.435342255,0.025024137,0.694909607,0.478010193,0.019044489,0.781771851,0.523096497,0.018263538,0.895924805,0.402084015,0.020664751,2567346,4291203,2664784,4471508,4062365,1868095
6,-2.377979,4.30531,584.078,0.831214392,0.38045084,0.752949036,0.221156967,0.912198425,0.731120605,0.511834076,0.902405151,0.972857056,0.378138,0.834918701,0.8704646,0.366853424,1.454006226,0.860873413,0.191002533,0.835073669,0.765659851,0.295456848,0.469541168,0.891641418,0.256250183,0.071375854,0.914690063,0.272270416,0.024051054,0.741199524,0.288340759,0.024953136,0.693312256,0.243186462,0.018942989,0.778348572,0.202370987,0.016271139,0.893495239,0.337277954,0.017846233,0.876934448,0.543201721,0.823398865,0.773034058,0.448807037,0.465544952,0.897762207,0.481341461,0.072267891,0.914352966,0.469493286,0.019868288,0.745302795,0.435347107,0.025075344,0.694905762,0.478006104,0.019038965,0.781813843,0.523100952,0.018339832,0.896002991,0.402059967,0.020610979,2567346,4291227,2664784,4471144,4062146,1868317
7,-2.27825,4.29332,584.2586,0.831226507,0.380317578,0.752960388,0.221179703,0.912184021,0.731087952,0.511813232,0.902380859,0.972857727,0.37818042,0.834912354,0.870667542,0.366603973,1.453889648,0.860901245,0.190994293,0.83508252,0.765673889,0.295454437,0.469528534,0.89172998,0.256239532,0.071404633,0.914706238,0.272305328,0.024054453,0.741256409,0.288320923,0.024906752,0.693311951,0.243184967,0.018907751,0.778398804,0.202373123,0.016236683,0.893401794,0.33707666,0.017833755,0.876905518,0.543217285,0.82343103,0.773048462,0.448800018,0.465531586,0.897760437,0.481326477,0.072299889,0.914380493,0.469511169,0.01986923,0.745292847,0.435388763,0.025027489,0.694887207,0.47799704,0.019081123,0.781792542,0.523103577,0.018271412,0.895991577,0.402068665,0.020604494,2567346,4290428,2664883,4471387,4062073,1868095
8,-2.32786,4.426618,585.1286,0.830877737,0.380465185,0.752960815,0.221185471,0.912169678,0.73106189,0.511812317,0.902380493,0.972851868,0.378192871,0.834910522,0.870589966,0.366722321,1.453935181,0.860881836,0.19100795,0.835049927,0.765674622,0.295465088,0.469532074,0.8916828,0.256250519,0.071379021,0.914696899,0.272288818,0.024014282,0.74122522,0.28834375,0.024917706,0.693311829,0.243150391,0.018921093,0.778356995,0.202398666,0.016273371,0.893713013,0.337229218,0.018308187,0.876868408,0.543229248,0.823387268,0.773034424,0.448766449,0.465545654,0.897739014,0.481346405,0.072283043,0.91432959,0.469486359,0.019861897,0.745287476,0.435385681,0.024999552,0.694894043,0.477990509,0.019060181,0.781825623,0.523117249,0.018276459,0.896062561,0.402045105,0.020576427,2567297,4290501,2664834,4471678,4061684,1868342
9,-2.287052,4.427749,585.0052,0.830853535,0.380425411,0.752936829,0.22116571,0.912164551,0.7310495,0.511841949,0.902366333,0.972846008,0.37819931,0.834958191,0.870507263,0.366855957,1.453946167,0.860872864,0.191025146,0.835056885,0.765656372,0.295468628,0.469539001,0.891672913,0.256291687,0.071343346,0.914699646,0.272315735,0.024011587,0.741195374,0.288354126,0.024925066,0.693336792,0.243165649,0.018898617,0.778399353,0.202415024,0.016221315,0.893625488,0.337157684,0.018161367,0.876861328,0.543255798,0.823385315,0.773009705,0.44876236,0.465506073,0.897740845,0.481345367,0.072280075,0.91435498,0.469527008,0.019854679,0.745258728,0.43535495,0.025023327,0.694866638,0.478000519,0.019038807,0.781790649,0.523112305,0.01828758,0.895999023,0.402058563,0.020593706,2566980,4291300,2665056,4471557,4061124,1868120
10,-2.414734,4.18466,585.2468,0.830757781,0.380693149,0.752933167,0.221192566,0.912152466,0.731044739,0.511862762,0.902386963,0.972821228,0.378235779,0.834915894,0.870487915,0.366878998,1.453902588,0.860891052,0.191054855,0.835060791,0.765649963,0.295493591,0.469527466,0.891705811,0.25624176,0.071337166,0.914675232,0.272292267,0.023979725,0.741186218,0.288381561,0.024945045,0.693318542,0.243189285,0.018945957,0.778398254,0.202405075,0.016229048,0.89353363,0.337043365,0.018102741,0.876864685,0.54329248,0.823403992,0.773015808,0.448772888,0.465481323,0.897737549,0.48135791,0.072293869,0.914312317,0.469496307,0.01989279,0.745267334,0.435364349,0.02499831,0.694891357,0.47797226,0.019012526,0.781822937,0.523105896,0.018279793,0.896050598,0.402053162,0.020588112,2566931,4291929,2664982,4471411,4061027,1867972
